cbsa,cbsatitle,metropolitanmicropolitanstatis,statename
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,California
23420,"Fresno, CA",Metropolitan Statistical Area,California
21700,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,California
20940,"El Centro, CA",Metropolitan Statistical Area,California
12540,"Bakersfield, CA",Metropolitan Statistical Area,California
25260,"Hanford-Corcoran, CA",Metropolitan Statistical Area,California
17340,"Clearlake, CA",Micropolitan Statistical Area,California
45000,"Susanville, CA",Micropolitan Statistical Area,California
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,California
31460,"Madera, CA",Metropolitan Statistical Area,California
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,California
46380,"Ukiah, CA",Micropolitan Statistical Area,California
32900,"Merced, CA",Metropolitan Statistical Area,California
41500,"Salinas, CA",Metropolitan Statistical Area,California
34900,"Napa, CA",Metropolitan Statistical Area,California
46020,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,California
31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,California
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,California
40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,California
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,California
41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,California
40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,California
41740,"San Diego-Carlsbad, CA",Metropolitan Statistical Area,California
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,California
44700,"Stockton-Lodi, CA",Metropolitan Statistical Area,California
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metropolitan Statistical Area,California
41860,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,California
42200,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,California
41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,California
42100,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,California
39820,"Redding, CA",Metropolitan Statistical Area,California
46700,"Vallejo-Fairfield, CA",Metropolitan Statistical Area,California
42220,"Santa Rosa, CA",Metropolitan Statistical Area,California
33700,"Modesto, CA",Metropolitan Statistical Area,California
49700,"Yuba City, CA",Metropolitan Statistical Area,California
39780,"Red Bluff, CA",Micropolitan Statistical Area,California
47300,"Visalia-Porterville, CA",Metropolitan Statistical Area,California
43760,"Sonora, CA",Micropolitan Statistical Area,California
37100,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area,California
40900,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,California
49700,"Yuba City, CA",Metropolitan Statistical Area,California
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
14500,"Boulder, CO",Metropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
20780,"Edwards, CO",Micropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
17820,"Colorado Springs, CO",Metropolitan Statistical Area,Colorado
15860,"Cañon City, CO",Micropolitan Statistical Area,Colorado
24060,"Glenwood Springs, CO",Micropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
20420,"Durango, CO",Micropolitan Statistical Area,Colorado
22660,"Fort Collins, CO",Metropolitan Statistical Area,Colorado
44540,"Sterling, CO",Micropolitan Statistical Area,Colorado
24300,"Grand Junction, CO",Metropolitan Statistical Area,Colorado
18780,"Craig, CO",Micropolitan Statistical Area,Colorado
33940,"Montrose, CO",Micropolitan Statistical Area,Colorado
22820,"Fort Morgan, CO",Micropolitan Statistical Area,Colorado
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Colorado
24060,"Glenwood Springs, CO",Micropolitan Statistical Area,Colorado
39380,"Pueblo, CO",Metropolitan Statistical Area,Colorado
44460,"Steamboat Springs, CO",Micropolitan Statistical Area,Colorado
14720,"Breckenridge, CO",Micropolitan Statistical Area,Colorado
17820,"Colorado Springs, CO",Metropolitan Statistical Area,Colorado
