cbsa,cbsatitle,metropolitanmicropolitanstatis,statename
27300,"Jacksonville, IL",Micropolitan Statistical Area,Illinois
40300,"Rochelle, IL",Micropolitan Statistical Area,Illinois
37900,"Peoria, IL",Metropolitan Statistical Area,Illinois
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Illinois
36860,"Ottawa-Peru, IL",Micropolitan Statistical Area,Illinois
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Illinois
41180,"St. Louis, MO-IL",Metropolitan Statistical Area,Illinois
44100,"Springfield, IL",Metropolitan Statistical Area,Illinois
27300,"Jacksonville, IL",Micropolitan Statistical Area,Illinois
37900,"Peoria, IL",Metropolitan Statistical Area,Illinois
23300,"Freeport, IL",Micropolitan Statistical Area,Illinois
37900,"Peoria, IL",Metropolitan Statistical Area,Illinois
19180,"Danville, IL",Metropolitan Statistical Area,Illinois
44580,"Sterling, IL",Micropolitan Statistical Area,Illinois
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Illinois
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Illinois
40420,"Rockford, IL",Metropolitan Statistical Area,Illinois
37900,"Peoria, IL",Metropolitan Statistical Area,Illinois
19540,"Decatur, IN",Micropolitan Statistical Area,Indiana
23060,"Fort Wayne, IN",Metropolitan Statistical Area,Indiana
18020,"Columbus, IN",Metropolitan Statistical Area,Indiana
29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Indiana
30900,"Logansport, IN",Micropolitan Statistical Area,Indiana
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Indiana
45460,"Terre Haute, IN",Metropolitan Statistical Area,Indiana
23140,"Frankfort, IN",Micropolitan Statistical Area,Indiana
47780,"Washington, IN",Micropolitan Statistical Area,Indiana
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Indiana
24700,"Greensburg, IN",Micropolitan Statistical Area,Indiana
12140,"Auburn, IN",Micropolitan Statistical Area,Indiana
34620,"Muncie, IN",Metropolitan Statistical Area,Indiana
27540,"Jasper, IN",Micropolitan Statistical Area,Indiana
21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area,Indiana
18220,"Connersville, IN",Micropolitan Statistical Area,Indiana
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Indiana
31980,"Marion, IN",Micropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
35220,"New Castle, IN",Micropolitan Statistical Area,Indiana
29020,"Kokomo, IN",Metropolitan Statistical Area,Indiana
26540,"Huntington, IN",Micropolitan Statistical Area,Indiana
42980,"Seymour, IN",Micropolitan Statistical Area,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Indiana
31500,"Madison, IN",Micropolitan Statistical Area,Indiana
35860,"North Vernon, IN",Micropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
47180,"Vincennes, IN",Micropolitan Statistical Area,Indiana
47700,"Warsaw, IN",Micropolitan Statistical Area,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Indiana
33140,"Michigan City-La Porte, IN",Metropolitan Statistical Area,Indiana
13260,"Bedford, IN",Micropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
38500,"Plymouth, IN",Micropolitan Statistical Area,Indiana
37940,"Peru, IN",Micropolitan Statistical Area,Indiana
14020,"Bloomington, IN",Metropolitan Statistical Area,Indiana
18820,"Crawfordsville, IN",Micropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Indiana
28340,"Kendallville, IN",Micropolitan Statistical Area,Indiana
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Indiana
14020,"Bloomington, IN",Metropolitan Statistical Area,Indiana
27540,"Jasper, IN",Micropolitan Statistical Area,Indiana
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Indiana
21780,"Evansville, IN-KY",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
43780,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area,Indiana
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Indiana
26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Indiana
11420,"Angola, IN",Micropolitan Statistical Area,Indiana
45460,"Terre Haute, IN",Metropolitan Statistical Area,Indiana
29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Indiana
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Indiana
21780,"Evansville, IN-KY",Metropolitan Statistical Area,Indiana
45460,"Terre Haute, IN",Metropolitan Statistical Area,Indiana
45460,"Terre Haute, IN",Metropolitan Statistical Area,Indiana
47340,"Wabash, IN",Micropolitan Statistical Area,Indiana
21780,"Evansville, IN-KY",Metropolitan Statistical Area,Indiana
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Indiana
39980,"Richmond, IN",Micropolitan Statistical Area,Indiana
23060,"Fort Wayne, IN",Metropolitan Statistical Area,Indiana
23060,"Fort Wayne, IN",Metropolitan Statistical Area,Indiana
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Iowa
47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,Iowa
14340,"Boone, IA",Micropolitan Statistical Area,Iowa
47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,Iowa
44740,"Storm Lake, IA",Micropolitan Statistical Area,Iowa
32380,"Mason City, IA",Micropolitan Statistical Area,Iowa
43980,"Spencer, IA",Micropolitan Statistical Area,Iowa
17540,"Clinton, IA",Micropolitan Statistical Area,Iowa
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Iowa
36900,"Ottumwa, IA",Micropolitan Statistical Area,Iowa
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Iowa
44020,"Spirit Lake, IA",Micropolitan Statistical Area,Iowa
20220,"Dubuque, IA",Metropolitan Statistical Area,Iowa
47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,Iowa
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Iowa
36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,Iowa
35500,"Newton, IA",Micropolitan Statistical Area,Iowa
21840,"Fairfield, IA",Micropolitan Statistical Area,Iowa
26980,"Iowa City, IA",Metropolitan Statistical Area,Iowa
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Iowa
22800,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,Iowa
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Iowa
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Iowa
36820,"Oskaloosa, IA",Micropolitan Statistical Area,Iowa
32260,"Marshalltown, IA",Micropolitan Statistical Area,Iowa
36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,Iowa
34700,"Muscatine, IA",Micropolitan Statistical Area,Iowa
43580,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,Iowa
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Iowa
36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,Iowa
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Iowa
11180,"Ames, IA",Metropolitan Statistical Area,Iowa
36900,"Ottumwa, IA",Micropolitan Statistical Area,Iowa
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Iowa
26980,"Iowa City, IA",Metropolitan Statistical Area,Iowa
22700,"Fort Dodge, IA",Micropolitan Statistical Area,Iowa
43580,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,Iowa
32380,"Mason City, IA",Micropolitan Statistical Area,Iowa
11860,"Atchison, KS",Micropolitan Statistical Area,Kansas
24460,"Great Bend, KS",Micropolitan Statistical Area,Kansas
48620,"Wichita, KS",Metropolitan Statistical Area,Kansas
11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,Kansas
38260,"Pittsburg, KS",Micropolitan Statistical Area,Kansas
41140,"St. Joseph, MO-KS",Metropolitan Statistical Area,Kansas
29940,"Lawrence, KS",Metropolitan Statistical Area,Kansas
25700,"Hays, KS",Micropolitan Statistical Area,Kansas
23780,"Garden City, KS",Micropolitan Statistical Area,Kansas
19980,"Dodge City, KS",Micropolitan Statistical Area,Kansas
36840,"Ottawa, KS",Micropolitan Statistical Area,Kansas
27920,"Junction City, KS",Micropolitan Statistical Area,Kansas
48620,"Wichita, KS",Metropolitan Statistical Area,Kansas
45820,"Topeka, KS",Metropolitan Statistical Area,Kansas
45820,"Topeka, KS",Metropolitan Statistical Area,Kansas
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas
23780,"Garden City, KS",Micropolitan Statistical Area,Kansas
48620,"Wichita, KS",Metropolitan Statistical Area,Kansas
37660,"Parsons, KS",Micropolitan Statistical Area,Kansas
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas
21380,"Emporia, KS",Micropolitan Statistical Area,Kansas
32700,"McPherson, KS",Micropolitan Statistical Area,Kansas
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas
17700,"Coffeyville, KS",Micropolitan Statistical Area,Kansas
45820,"Topeka, KS",Metropolitan Statistical Area,Kansas
41460,"Salina, KS",Micropolitan Statistical Area,Kansas
31740,"Manhattan, KS",Metropolitan Statistical Area,Kansas
26740,"Hutchinson, KS",Micropolitan Statistical Area,Kansas
31740,"Manhattan, KS",Metropolitan Statistical Area,Kansas
41460,"Salina, KS",Micropolitan Statistical Area,Kansas
48620,"Wichita, KS",Metropolitan Statistical Area,Kansas
30580,"Liberal, KS",Micropolitan Statistical Area,Kansas
45820,"Topeka, KS",Metropolitan Statistical Area,Kansas
48620,"Wichita, KS",Metropolitan Statistical Area,Kansas
45820,"Topeka, KS",Metropolitan Statistical Area,Kansas
28140,"Kansas City, MO-KS",Metropolitan Statistical Area,Kansas
14540,"Bowling Green, KY",Metropolitan Statistical Area,Kentucky
23180,"Frankfort, KY",Micropolitan Statistical Area,Kentucky
37140,"Paducah, KY-IL",Micropolitan Statistical Area,Kentucky
23980,"Glasgow, KY",Micropolitan Statistical Area,Kentucky
34460,"Mount Sterling, KY",Micropolitan Statistical Area,Kentucky
33180,"Middlesborough, KY",Micropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Kentucky
26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,Kentucky
19220,"Danville, KY",Micropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
14540,"Bowling Green, KY",Metropolitan Statistical Area,Kentucky
34660,"Murray, KY",Micropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,Kentucky
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Kentucky
36980,"Owensboro, KY",Metropolitan Statistical Area,Kentucky
14540,"Bowling Green, KY",Metropolitan Statistical Area,Kentucky
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Kentucky
23180,"Frankfort, KY",Micropolitan Statistical Area,Kentucky
46460,"Union City, TN-KY",Micropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
32460,"Mayfield, KY",Micropolitan Statistical Area,Kentucky
26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,Kentucky
36980,"Owensboro, KY",Metropolitan Statistical Area,Kentucky
21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,Kentucky
21780,"Evansville, IN-KY",Metropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
31580,"Madisonville, KY",Micropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
30940,"London, KY",Micropolitan Statistical Area,Kentucky
21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,Kentucky
30940,"London, KY",Micropolitan Statistical Area,Kentucky
19220,"Danville, KY",Micropolitan Statistical Area,Kentucky
37140,"Paducah, KY-IL",Micropolitan Statistical Area,Kentucky
37140,"Paducah, KY-IL",Micropolitan Statistical Area,Kentucky
36980,"Owensboro, KY",Metropolitan Statistical Area,Kentucky
40080,"Richmond-Berea, KY",Micropolitan Statistical Area,Kentucky
32500,"Maysville, KY",Micropolitan Statistical Area,Kentucky
21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,Kentucky
34460,"Mount Sterling, KY",Micropolitan Statistical Area,Kentucky
23980,"Glasgow, KY",Micropolitan Statistical Area,Kentucky
34460,"Mount Sterling, KY",Micropolitan Statistical Area,Kentucky
12680,"Bardstown, KY",Micropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Kentucky
43700,"Somerset, KY",Micropolitan Statistical Area,Kentucky
40080,"Richmond-Berea, KY",Micropolitan Statistical Area,Kentucky
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
15820,"Campbellsville, KY",Micropolitan Statistical Area,Kentucky
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,Kentucky
31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Kentucky
14540,"Bowling Green, KY",Metropolitan Statistical Area,Kentucky
30940,"London, KY",Micropolitan Statistical Area,Kentucky
30460,"Lexington-Fayette, KY",Metropolitan Statistical Area,Kentucky
29180,"Lafayette, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
19760,"DeRidder, LA",Micropolitan Statistical Area,Louisiana
43340,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,Louisiana
43340,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,Louisiana
29340,"Lake Charles, LA",Metropolitan Statistical Area,Louisiana
29340,"Lake Charles, LA",Metropolitan Statistical Area,Louisiana
35020,"Natchez, MS-LA",Micropolitan Statistical Area,Louisiana
43340,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
10780,"Alexandria, LA",Metropolitan Statistical Area,Louisiana
29180,"Lafayette, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
29180,"Lafayette, LA",Metropolitan Statistical Area,Louisiana
26380,"Houma-Thibodaux, LA",Metropolitan Statistical Area,Louisiana
40820,"Ruston, LA",Micropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
12820,"Bastrop, LA",Micropolitan Statistical Area,Louisiana
35060,"Natchitoches, LA",Micropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
33740,"Monroe, LA",Metropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
10780,"Alexandria, LA",Metropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
36660,"Opelousas, LA",Micropolitan Statistical Area,Louisiana
29180,"Lafayette, LA",Metropolitan Statistical Area,Louisiana
34020,"Morgan City, LA",Micropolitan Statistical Area,Louisiana
35380,"New Orleans-Metairie, LA",Metropolitan Statistical Area,Louisiana
25220,"Hammond, LA",Metropolitan Statistical Area,Louisiana
26380,"Houma-Thibodaux, LA",Metropolitan Statistical Area,Louisiana
33740,"Monroe, LA",Metropolitan Statistical Area,Louisiana
29180,"Lafayette, LA",Metropolitan Statistical Area,Louisiana
22860,"Fort Polk South, LA",Micropolitan Statistical Area,Louisiana
14220,"Bogalusa, LA",Micropolitan Statistical Area,Louisiana
43340,"Shreveport-Bossier City, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
12940,"Baton Rouge, LA",Metropolitan Statistical Area,Louisiana
30340,"Lewiston-Auburn, ME",Metropolitan Statistical Area,Maine
38860,"Portland-South Portland, ME",Metropolitan Statistical Area,Maine
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,Maine
12620,"Bangor, ME",Metropolitan Statistical Area,Maine
38860,"Portland-South Portland, ME",Metropolitan Statistical Area,Maine
38860,"Portland-South Portland, ME",Metropolitan Statistical Area,Maine
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,Maryland
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,Maryland
15700,"Cambridge, MD",Micropolitan Statistical Area,Maryland
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,Maryland
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,Maryland
41540,"Salisbury, MD-DE",Metropolitan Statistical Area,Maryland
20660,"Easton, MD",Micropolitan Statistical Area,Maryland
25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,Maryland
41540,"Salisbury, MD-DE",Metropolitan Statistical Area,Maryland
41540,"Salisbury, MD-DE",Metropolitan Statistical Area,Maryland
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,Maryland
12700,"Barnstable Town, MA",Metropolitan Statistical Area,Massachusetts
38340,"Pittsfield, MA",Metropolitan Statistical Area,Massachusetts
39300,"Providence-Warwick, RI-MA",Metropolitan Statistical Area,Massachusetts
47240,"Vineyard Haven, MA",Micropolitan Statistical Area,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Massachusetts
24640,"Greenfield Town, MA",Micropolitan Statistical Area,Massachusetts
44140,"Springfield, MA",Metropolitan Statistical Area,Massachusetts
44140,"Springfield, MA",Metropolitan Statistical Area,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Massachusetts
14460,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,Massachusetts
49340,"Worcester, MA-CT",Metropolitan Statistical Area,Massachusetts
26090,"Holland, MI",Micropolitan Statistical Area,Michigan
10980,"Alpena, MI",Micropolitan Statistical Area,Michigan
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,Michigan
13020,"Bay City, MI",Metropolitan Statistical Area,Michigan
45900,"Traverse City, MI",Micropolitan Statistical Area,Michigan
35660,"Niles-Benton Harbor, MI",Metropolitan Statistical Area,Michigan
17740,"Coldwater, MI",Micropolitan Statistical Area,Michigan
12980,"Battle Creek, MI",Metropolitan Statistical Area,Michigan
43780,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area,Michigan
42300,"Sault Ste. Marie, MI",Micropolitan Statistical Area,Michigan
29620,"Lansing-East Lansing, MI",Metropolitan Statistical Area,Michigan
21540,"Escanaba, MI",Micropolitan Statistical Area,Michigan
27020,"Iron Mountain, MI-WI",Micropolitan Statistical Area,Michigan
29620,"Lansing-East Lansing, MI",Metropolitan Statistical Area,Michigan
22420,"Flint, MI",Metropolitan Statistical Area,Michigan
45900,"Traverse City, MI",Micropolitan Statistical Area,Michigan
10940,"Alma, MI",Micropolitan Statistical Area,Michigan
25880,"Hillsdale, MI",Micropolitan Statistical Area,Michigan
26340,"Houghton, MI",Micropolitan Statistical Area,Michigan
29620,"Lansing-East Lansing, MI",Metropolitan Statistical Area,Michigan
26960,"Ionia, MI",Micropolitan Statistical Area,Michigan
34380,"Mount Pleasant, MI",Micropolitan Statistical Area,Michigan
27100,"Jackson, MI",Metropolitan Statistical Area,Michigan
28020,"Kalamazoo-Portage, MI",Metropolitan Statistical Area,Michigan
45900,"Traverse City, MI",Micropolitan Statistical Area,Michigan
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,Michigan
26340,"Houghton, MI",Micropolitan Statistical Area,Michigan
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Michigan
45900,"Traverse City, MI",Micropolitan Statistical Area,Michigan
10300,"Adrian, MI",Micropolitan Statistical Area,Michigan
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Michigan
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Michigan
32100,"Marquette, MI",Micropolitan Statistical Area,Michigan
31220,"Ludington, MI",Micropolitan Statistical Area,Michigan
13660,"Big Rapids, MI",Micropolitan Statistical Area,Michigan
31940,"Marinette, WI-MI",Micropolitan Statistical Area,Michigan
33220,"Midland, MI",Metropolitan Statistical Area,Michigan
15620,"Cadillac, MI",Micropolitan Statistical Area,Michigan
33780,"Monroe, MI",Metropolitan Statistical Area,Michigan
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,Michigan
34740,"Muskegon, MI",Metropolitan Statistical Area,Michigan
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Michigan
24340,"Grand Rapids-Wyoming, MI",Metropolitan Statistical Area,Michigan
40980,"Saginaw, MI",Metropolitan Statistical Area,Michigan
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Michigan
44780,"Sturgis, MI",Micropolitan Statistical Area,Michigan
37020,"Owosso, MI",Micropolitan Statistical Area,Michigan
28020,"Kalamazoo-Portage, MI",Metropolitan Statistical Area,Michigan
11460,"Ann Arbor, MI",Metropolitan Statistical Area,Michigan
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Michigan
15620,"Cadillac, MI",Micropolitan Statistical Area,Michigan
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
13420,"Bemidji, MN",Micropolitan Statistical Area,Minnesota
41060,"St. Cloud, MN",Metropolitan Statistical Area,Minnesota
31860,"Mankato-North Mankato, MN",Metropolitan Statistical Area,Minnesota
35580,"New Ulm, MN",Micropolitan Statistical Area,Minnesota
20260,"Duluth, MN-WI",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
14660,"Brainerd, MN",Micropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
22020,"Fargo, ND-MN",Metropolitan Statistical Area,Minnesota
14660,"Brainerd, MN",Micropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
40340,"Rochester, MN",Metropolitan Statistical Area,Minnesota
10820,"Alexandria, MN",Micropolitan Statistical Area,Minnesota
40340,"Rochester, MN",Metropolitan Statistical Area,Minnesota
10660,"Albert Lea, MN",Micropolitan Statistical Area,Minnesota
39860,"Red Wing, MN",Micropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
29100,"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
48820,"Willmar, MN",Micropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
32140,"Marshall, MN",Micropolitan Statistical Area,Minnesota
26780,"Hutchinson, MN",Micropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
12380,"Austin, MN",Micropolitan Statistical Area,Minnesota
31860,"Mankato-North Mankato, MN",Metropolitan Statistical Area,Minnesota
49380,"Worthington, MN",Micropolitan Statistical Area,Minnesota
40340,"Rochester, MN",Metropolitan Statistical Area,Minnesota
22260,"Fergus Falls, MN",Micropolitan Statistical Area,Minnesota
24220,"Grand Forks, ND-MN",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
22060,"Faribault-Northfield, MN",Micropolitan Statistical Area,Minnesota
20260,"Duluth, MN-WI",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
41060,"St. Cloud, MN",Metropolitan Statistical Area,Minnesota
36940,"Owatonna, MN",Micropolitan Statistical Area,Minnesota
40340,"Rochester, MN",Metropolitan Statistical Area,Minnesota
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area,Minnesota
47420,"Wahpeton, ND-MN",Micropolitan Statistical Area,Minnesota
